262435,1,-3,4,2,Coarse2,full,0
262436,1,-4,4,2,Coarse2,full,0
262437,1,-5,4,2,Coarse2,full,0
262438,1,-6,4,3012,Coarse2,b,3
262464,1,0,5,1,Coarse1,full,0
262465,1,1,5,0,Fine,full,0
262466,1,2,5,0,Fine,full,0
262467,1,3,5,0,Fine,full,0
262468,1,4,5,0,Fine,full,0
262469,1,5,5,1,Coarse1,full,0
262470,1,6,5,2,Coarse2,full,0
262471,1,7,5,2,Coarse2,full,0
262472,1,8,5,2,Coarse2,full,0
262473,1,9,5,2,Coarse2,full,0
262474,1,10,5,52,Coarse2,d,0
262497,1,-1,5,2,Coarse2,full,0
262498,1,-2,5,2,Coarse2,full,0
262499,1,-3,5,2,Coarse2,full,0
262500,1,-4,5,2,Coarse2,full,0
262501,1,-5,5,2052,Coarse2,d,2
262528,1,0,6,2,Coarse2,full,0
262529,1,1,6,2,Coarse2,full,0
262530,1,2,6,1,Coarse1,full,0
262531,1,3,6,1,Coarse1,full,0
262532,1,4,6,1,Coarse1,full,0
262533,1,5,6,2,Coarse2,full,0
262534,1,6,6,2,Coarse2,full,0
262535,1,7,6,2,Coarse2,full,0
262536,1,8,6,2,Coarse2,full,0
262537,1,9,6,2,Coarse2,full,0
262538,1,10,6,1012,Coarse2,b,1
262561,1,-1,6,2,Coarse2,full,0
262562,1,-2,6,2,Coarse2,full,0
262563,1,-3,6,2,Coarse2,full,0
262564,1,-4,6,3012,Coarse2,b,3
262592,1,0,7,2,Coarse2,full,0
262593,1,1,7,2,Coarse2,full,0
262594,1,2,7,2,Coarse2,full,0
262595,1,3,7,2,Coarse2,full,0
262596,1,4,7,2,Coarse2,full,0
262597,1,5,7,2,Coarse2,full,0
262598,1,6,7,2,Coarse2,full,0
262599,1,7,7,2,Coarse2,full,0
262600,1,8,7,2,Coarse2,full,0
262601,1,9,7,2,Coarse2,full,0
262602,1,10,7,1042,Coarse2,a,1
262625,1,-1,7,2,Coarse2,full,0
262626,1,-2,7,2,Coarse2,full,0
262627,1,-3,7,2042,Coarse2,a,2
262656,1,0,8,2,Coarse2,full,0
262657,1,1,8,2,Coarse2,full,0
262658,1,2,8,2,Coarse2,full,0
262659,1,3,8,2,Coarse2,full,0
262660,1,4,8,2,Coarse2,full,0
262661,1,5,8,2,Coarse2,full,0
262662,1,6,8,2,Coarse2,full,0
262663,1,7,8,2,Coarse2,full,0
262664,1,8,8,2,Coarse2,full,0
262665,1,9,8,2012,Coarse2,b,2
262666,1,10,8,72,Coarse2,c,0
262689,1,-1,8,2,Coarse2,full,0
262690,1,-2,8,2072,Coarse2,c,2
262720,1,0,9,1072,Coarse2,c,1
262721,1,1,9,3012,Coarse2,b,3
262722,1,2,9,2,Coarse2,full,0
262723,1,3,9,2,Coarse2,full,0
262724,1,4,9,2,Coarse2,full,0
262725,1,5,9,2,Coarse2,full,0
262726,1,6,9,2,Coarse2,full,0
262727,1,7,9,2,Coarse2,full,0
